ticker,x,y,category
AAPL,21.300394,40.990253,Tech
BAC,13.710663,31.682602,Financials
CAT,-59.502213,-50.730053,Industrials
CVX,-59.59725,-61.770832,Energy
DAL,-18.47775,-6.177512,Industrials
GOOGL,-26.890335,-25.920467,Tech
GS,-18.05376,-18.553589,Financials
HAL,-39.294697,-35.728596,Energy
JNJ,-50.611797,-44.10089,Healthcare
JPM,21.07285,24.739492,Financials
KO,-38.034626,-24.504251,Consumer
MCD,32.9819,46.833908,Consumer
META,38.8264,62.686253,Tech
MMM,42.431297,52.962345,Industrials
MSFT,57.27084,84.67928,Tech
NKE,48.838963,91.80842,Consumer
NVDA,28.631613,33.280388,Tech
PFE,-27.913465,-14.074158,Healthcare
UNH,51.8579,77.75556,Healthcare
XOM,-69.33734,-58.567303,Energy
